sex,age,age_cat,race,priors_count,is_recid,is_violent_recid,decile_score,v_decile_score,two_year_recid
Male,62,Greater than 45,Caucasian,0,0,0,1,1,0
Male,28,25 - 45,African-American,1,0,0,3,3,0
Male,57,Greater than 45,African-American,8,1,0,4,2,1
Male,19,Less than 25,African-American,1,1,0,10,10,1
Female,37,25 - 45,Other,0,0,0,1,1,0
Male,23,Less than 25,African-American,4,1,0,10,9,1
Male,26,25 - 45,Caucasian,2,0,0,5,4,0
Male,63,Greater than 45,Caucasian,1,0,0,1,1,0
Male,56,Greater than 45,African-American,0,0,0,2,1,0
Male,30,25 - 45,Caucasian,2,0,0,2,3,0
Female,35,25 - 45,Hispanic,0,0,0,2,1,0
Male,41,25 - 45,Caucasian,2,0,0,1,1,0
Male,34,25 - 45,Caucasian,16,1,0,6,6,1
Female,52,Greater than 45,African-American,2,1,0,1,1,1
Female,35,25 - 45,African-American,12,0,0,2,1,0
Male,22,Less than 25,African-American,3,0,0,9,8,0
Male,27,25 - 45,African-American,21,1,0,7,3,1
Male,27,25 - 45,Caucasian,1,1,1,7,8,1
Male,27,25 - 45,African-American,13,1,0,10,10,1
Female,23,Less than 25,African-American,0,0,0,3,3,0
Female,21,Less than 25,Caucasian,1,1,0,8,9,0
Male,42,25 - 45,African-American,0,0,0,1,1,0
Male,33,25 - 45,African-American,4,1,0,7,6,1
Male,54,Greater than 45,Hispanic,2,0,0,1,1,0
Male,21,Less than 25,Caucasian,1,0,0,4,6,0
Male,48,Greater than 45,Caucasian,1,0,0,1,1,0
Male,28,25 - 45,Caucasian,0,1,0,2,3,1
Male,22,Less than 25,African-American,0,0,0,3,5,0
Male,29,25 - 45,Caucasian,5,0,0,2,3,0
Male,25,25 - 45,African-American,0,0,0,6,5,0
Male,30,25 - 45,Hispanic,14,1,1,4,6,1
Female,59,Greater than 45,Caucasian,0,0,0,1,1,0
Male,30,25 - 45,African-American,1,1,0,3,2,0
Male,69,Greater than 45,Caucasian,0,0,0,5,1,0
Male,30,25 - 45,Hispanic,3,1,0,5,6,1
Male,47,Greater than 45,African-American,22,1,0,7,2,1
Male,32,25 - 45,African-American,14,1,0,8,2,1
Male,35,25 - 45,Caucasian,3,0,0,4,1,0
Male,25,25 - 45,Caucasian,5,1,1,9,8,1
Female,22,Less than 25,Caucasian,0,1,0,7,6,1
Female,36,25 - 45,Hispanic,1,0,0,3,1,0
Male,45,Greater than 45,Hispanic,0,0,0,1,1,0
Male,35,25 - 45,Hispanic,5,0,0,7,7,0
Male,39,25 - 45,African-American,4,0,0,9,5,0
Male,32,25 - 45,Caucasian,2,1,0,2,2,1
Male,30,25 - 45,African-American,0,0,0,2,2,0
Male,54,Greater than 45,Caucasian,2,0,0,2,1,0
Male,37,25 - 45,Hispanic,1,1,0,5,3,1
Male,21,Less than 25,African-American,0,1,1,10,9,1
Male,30,25 - 45,African-American,5,1,1,9,6,1
Male,51,Greater than 45,Caucasian,1,0,0,1,1,0
Male,27,25 - 45,African-American,0,0,0,1,2,0
Male,23,Less than 25,Other,7,1,1,6,8,1
Male,27,25 - 45,Caucasian,4,1,0,7,4,1
Male,20,Less than 25,African-American,1,1,1,3,6,1
Male,69,Greater than 45,Caucasian,6,1,0,1,2,1
Male,23,Less than 25,African-American,2,0,0,9,5,0
Male,55,Greater than 45,African-American,17,1,0,10,4,1
Male,37,25 - 45,Caucasian,1,1,1,5,2,1
Female,45,Greater than 45,African-American,2,0,0,3,1,0
Male,51,Greater than 45,Caucasian,6,1,0,3,2,1
Male,37,25 - 45,Caucasian,0,0,0,4,1,0
Male,36,25 - 45,African-American,1,0,0,1,1,0
Male,23,Less than 25,African-American,0,0,0,2,3,0
Male,22,Less than 25,African-American,0,1,1,3,6,1
Male,51,Greater than 45,Hispanic,1,0,0,1,1,0
Male,54,Greater than 45,African-American,4,0,0,1,1,0
Male,49,Greater than 45,Caucasian,1,0,0,1,1,0
Male,24,Less than 25,Hispanic,6,1,0,10,9,1
Male,69,Greater than 45,African-American,3,0,0,1,2,0
Male,53,Greater than 45,Other,0,0,0,1,1,0
Male,45,Greater than 45,African-American,0,0,0,1,1,0
Female,48,Greater than 45,Other,0,0,0,1,1,0
Male,31,25 - 45,Caucasian,5,1,0,6,4,1
Male,55,Greater than 45,Hispanic,0,0,0,1,1,0
Male,53,Greater than 45,African-American,13,0,0,7,6,0
Male,43,25 - 45,Caucasian,8,1,0,4,6,1
Male,32,25 - 45,Hispanic,1,0,0,1,1,0
Male,29,25 - 45,African-American,0,0,0,2,3,0
Female,23,Less than 25,Caucasian,0,0,0,6,5,0
Male,30,25 - 45,Caucasian,2,1,0,4,4,1
Female,28,25 - 45,Caucasian,7,0,0,9,6,0
Male,25,25 - 45,African-American,0,1,0,5,5,1
Male,21,Less than 25,African-American,1,1,0,5,5,1
Female,19,Less than 25,African-American,0,1,1,8,8,1
Male,54,Greater than 45,Other,2,0,0,1,1,0
Male,44,25 - 45,Hispanic,8,1,0,1,2,1
Male,34,25 - 45,Caucasian,0,0,0,1,1,0
Male,22,Less than 25,Hispanic,2,0,0,3,6,0
Male,32,25 - 45,African-American,15,1,0,8,5,1
Male,25,25 - 45,Other,0,0,0,4,3,0
Female,30,25 - 45,Hispanic,0,1,0,3,2,1
Male,21,Less than 25,African-American,0,0,0,5,7,0
Female,29,25 - 45,African-American,1,0,0,4,3,0
Male,32,25 - 45,African-American,2,0,0,3,3,0
Male,30,25 - 45,African-American,1,0,0,2,2,0
Male,24,Less than 25,Caucasian,3,1,0,8,5,1
Male,24,Less than 25,Other,0,0,0,6,4,0
Male,37,25 - 45,African-American,1,0,0,10,10,0
Male,49,Greater than 45,Caucasian,0,0,0,1,1,0
Male,63,Greater than 45,Caucasian,10,1,1,4,1,1
Male,37,25 - 45,African-American,5,1,1,1,2,1
Male,30,25 - 45,Caucasian,1,1,0,8,6,1
Male,28,25 - 45,Caucasian,0,0,0,4,5,0
Male,26,25 - 45,African-American,3,1,1,10,8,1
Male,22,Less than 25,African-American,0,0,0,4,6,0
Female,37,25 - 45,Caucasian,0,0,0,1,1,0
Male,41,25 - 45,African-American,7,0,0,4,1,0
Female,51,Greater than 45,African-American,4,0,0,1,1,0
Male,32,25 - 45,African-American,3,1,0,5,2,1
Male,21,Less than 25,African-American,1,1,0,6,8,1
Male,34,25 - 45,Caucasian,1,0,0,6,4,0
Male,27,25 - 45,African-American,0,0,0,2,4,0
Male,31,25 - 45,Caucasian,1,0,0,5,2,0
Male,42,25 - 45,Caucasian,0,0,0,4,1,0
Male,36,25 - 45,Caucasian,5,1,0,3,2,1
Male,23,Less than 25,Hispanic,0,0,0,7,5,0
Male,33,25 - 45,African-American,21,1,0,7,6,1
Female,23,Less than 25,Caucasian,4,1,0,9,5,1
Male,26,25 - 45,African-American,9,1,0,10,9,1
Male,30,25 - 45,African-American,8,1,0,5,3,1
Male,35,25 - 45,African-American,29,0,0,6,8,0
Male,24,Less than 25,African-American,7,1,0,8,7,1
Male,27,25 - 45,African-American,1,0,0,2,5,0
Male,39,25 - 45,African-American,2,1,0,1,1,1
Male,31,25 - 45,Other,6,1,0,2,2,1
Female,36,25 - 45,Caucasian,3,1,0,1,1,1
Male,28,25 - 45,African-American,5,0,0,6,5,0
Male,22,Less than 25,African-American,0,0,0,3,4,0
Male,39,25 - 45,Caucasian,2,0,0,1,1,0
Male,39,25 - 45,Caucasian,0,0,0,1,1,0
Male,23,Less than 25,Caucasian,11,1,0,10,9,1
Male,28,25 - 45,Caucasian,4,1,0,4,2,1
Female,49,Greater than 45,Caucasian,2,0,0,2,1,0
Male,20,Less than 25,African-American,0,1,0,5,8,1
Male,50,Greater than 45,Caucasian,1,0,0,1,1,0
Male,61,Greater than 45,Caucasian,0,0,0,1,1,0
Male,29,25 - 45,African-American,11,1,0,8,7,1
Male,55,Greater than 45,African-American,0,1,0,1,1,1
Male,21,Less than 25,Native American,0,1,0,6,7,1
Male,25,25 - 45,African-American,2,0,0,5,6,0
Male,40,25 - 45,Caucasian,4,1,1,3,5,1
Male,25,25 - 45,African-American,1,0,0,2,3,0
Male,54,Greater than 45,Caucasian,6,0,0,1,1,0
Male,63,Greater than 45,African-American,9,1,0,6,1,1
Male,57,Greater than 45,Caucasian,15,0,0,7,3,0
Male,23,Less than 25,African-American,2,1,0,7,8,1
Male,39,25 - 45,Caucasian,2,0,0,3,1,0
Male,32,25 - 45,Caucasian,5,1,1,5,4,1
Male,23,Less than 25,Caucasian,0,0,0,5,6,0
Male,21,Less than 25,Hispanic,0,0,0,10,8,0
Female,28,25 - 45,Other,1,0,0,2,2,0
Female,30,25 - 45,Caucasian,0,1,0,4,2,1
Male,20,Less than 25,Hispanic,3,1,0,10,10,1
Male,58,Greater than 45,Caucasian,1,1,1,1,1,1
Male,31,25 - 45,Caucasian,1,1,0,4,2,1
Male,47,Greater than 45,Caucasian,0,0,0,1,1,0
Male,62,Greater than 45,Caucasian,3,0,0,1,1,0
Male,42,25 - 45,African-American,0,0,0,1,1,0
Male,26,25 - 45,African-American,3,1,0,4,2,1
Male,26,25 - 45,African-American,0,0,0,3,3,0
Female,20,Less than 25,African-American,1,1,0,6,7,1
Male,37,25 - 45,Caucasian,0,0,0,4,3,0
Male,65,Greater than 45,African-American,7,0,0,5,1,0
Female,29,25 - 45,Caucasian,0,0,0,7,3,0
Male,27,25 - 45,African-American,1,0,0,7,4,0
Male,34,25 - 45,African-American,8,1,0,7,3,0
Female,26,25 - 45,African-American,4,1,0,7,5,1
Male,35,25 - 45,Hispanic,12,0,0,9,6,0
Male,31,25 - 45,Caucasian,10,0,0,8,4,0
Male,39,25 - 45,Caucasian,2,1,0,1,1,1
Male,21,Less than 25,Caucasian,3,1,0,10,6,1
Male,37,25 - 45,African-American,2,0,0,1,1,0
Male,49,Greater than 45,Caucasian,4,1,1,6,4,1
Male,26,25 - 45,African-American,7,0,0,8,6,0
Male,54,Greater than 45,African-American,0,1,1,1,1,1
Male,77,Greater than 45,Caucasian,1,0,0,1,1,0
Male,43,25 - 45,African-American,0,0,0,1,1,0
Male,23,Less than 25,Caucasian,0,1,1,9,9,1
Male,31,25 - 45,Other,0,0,0,2,2,0
Male,21,Less than 25,Caucasian,0,1,1,3,5,1
Male,30,25 - 45,Caucasian,0,1,0,2,3,1
Male,23,Less than 25,African-American,0,1,0,2,4,1
Male,25,25 - 45,Caucasian,6,1,0,8,5,1
Male,60,Greater than 45,African-American,3,0,0,1,1,0
Male,32,25 - 45,Caucasian,6,0,0,7,4,0
Male,28,25 - 45,African-American,6,1,0,8,3,1
Male,34,25 - 45,Caucasian,11,0,0,4,3,0
Female,47,Greater than 45,Hispanic,1,0,0,1,1,0
Male,37,25 - 45,African-American,20,1,0,9,5,1
Male,29,25 - 45,African-American,9,1,1,7,4,1
Male,32,25 - 45,Caucasian,2,0,0,2,1,0
Male,41,25 - 45,Caucasian,3,0,0,1,1,0
Female,34,25 - 45,African-American,5,1,0,5,5,1
Male,26,25 - 45,Caucasian,0,0,0,3,3,0
Male,24,Less than 25,Caucasian,1,1,0,2,3,1
Male,39,25 - 45,Caucasian,0,0,0,1,1,0
Female,26,25 - 45,African-American,3,0,0,5,3,0
Male,22,Less than 25,African-American,1,1,0,10,10,1
Male,24,Less than 25,Hispanic,1,0,0,4,4,0
Male,45,Greater than 45,Hispanic,1,0,0,3,3,0
Female,51,Greater than 45,Caucasian,0,0,0,1,1,0
Male,31,25 - 45,Caucasian,5,1,0,3,2,1
Male,41,25 - 45,Caucasian,0,0,0,2,1,0
Male,29,25 - 45,Hispanic,1,0,0,1,2,0
Male,34,25 - 45,African-American,13,1,0,7,2,1
Male,25,25 - 45,African-American,2,1,0,9,7,0
Male,29,25 - 45,African-American,15,1,0,6,3,1
Male,60,Greater than 45,Other,4,0,0,1,1,0
Male,44,25 - 45,African-American,0,0,0,2,1,0
Male,40,25 - 45,African-American,3,0,0,7,8,0
Male,62,Greater than 45,African-American,4,0,0,1,1,0
Female,41,25 - 45,Other,2,0,0,3,3,0
Male,35,25 - 45,Other,2,0,0,5,3,0
Female,32,25 - 45,African-American,0,0,0,3,2,0
Male,23,Less than 25,African-American,0,0,0,3,3,0
Male,57,Greater than 45,Caucasian,1,0,0,1,1,0
Male,26,25 - 45,Caucasian,7,1,0,7,5,1
Male,29,25 - 45,Caucasian,2,0,0,2,3,0
Male,62,Greater than 45,African-American,13,1,0,8,5,1
Male,25,25 - 45,Hispanic,5,0,0,8,7,0
Male,41,25 - 45,Caucasian,4,1,0,3,1,1
Male,51,Greater than 45,Caucasian,3,0,0,2,2,0
Male,20,Less than 25,African-American,1,1,1,8,7,1
Male,33,25 - 45,African-American,10,1,0,9,6,1
Male,21,Less than 25,African-American,0,0,0,4,7,0
Male,45,Greater than 45,Hispanic,1,0,0,6,3,0
Male,29,25 - 45,African-American,1,1,1,2,2,1
Female,46,Greater than 45,African-American,0,0,0,1,1,0
Female,26,25 - 45,African-American,5,1,0,7,5,1
Female,29,25 - 45,African-American,0,0,0,5,4,0
Male,35,25 - 45,Hispanic,2,0,0,1,1,0
Male,25,25 - 45,Caucasian,2,0,0,6,5,0
Male,31,25 - 45,Caucasian,8,0,0,9,2,0
Male,45,Greater than 45,Other,0,0,0,1,1,0
Male,20,Less than 25,African-American,0,1,0,5,6,1
Male,27,25 - 45,African-American,1,0,0,5,3,0
Female,32,25 - 45,Caucasian,2,0,0,6,3,0
Male,55,Greater than 45,Other,8,1,0,1,1,1
Female,39,25 - 45,African-American,7,0,0,2,1,0
Male,22,Less than 25,African-American,0,1,0,3,5,1
Male,46,Greater than 45,Caucasian,1,0,0,1,1,0
Female,34,25 - 45,Caucasian,0,1,0,2,1,1
Male,35,25 - 45,Caucasian,0,1,0,1,1,1
Male,46,Greater than 45,Caucasian,0,0,0,1,1,0
Male,39,25 - 45,Caucasian,9,1,0,5,3,1
Male,26,25 - 45,African-American,24,1,1,10,7,1
Female,25,25 - 45,African-American,1,0,0,9,5,0
Male,32,25 - 45,Hispanic,2,1,0,5,2,1
Male,32,25 - 45,Hispanic,3,0,0,3,2,0
