Age,Sex,Job,Housing,Saving accounts,Checking account,Duration,Purpose,Risk
22,female,2,own,little,moderate,48,radio/TV,High
45,male,2,free,little,little,42,furniture/equipment,High
53,male,2,free,little,little,24,car,High
35,male,3,rent,little,moderate,36,car,High
28,male,3,own,little,moderate,30,car,High
25,female,2,rent,little,moderate,12,car,Low
24,female,2,rent,little,little,48,business,High
22,female,2,own,little,moderate,12,radio/TV,Low
60,male,1,own,little,little,24,car,Low
28,female,2,rent,little,little,15,car,Low
32,female,1,own,moderate,little,24,radio/TV,Low
44,female,3,free,little,moderate,24,car,High
44,male,2,rent,quite rich,little,6,radio/TV,High
48,male,1,rent,little,little,10,car,Low
44,male,2,own,moderate,moderate,12,car,Low
36,male,1,own,little,little,6,furniture/equipment,Low
42,female,2,rent,rich,rich,12,radio/TV,Low
34,male,2,own,little,moderate,7,radio/TV,High
63,male,2,own,little,little,60,business,High
36,male,2,own,rich,moderate,18,business,Low
27,male,2,own,little,little,24,furniture/equipment,High
30,male,2,own,moderate,moderate,18,car,High
33,female,3,own,little,rich,12,furniture/equipment,Low
25,male,1,own,little,moderate,45,radio/TV,High
37,male,2,own,little,rich,18,radio/TV,Low
37,male,2,own,little,rich,10,domestic appliances,Low
24,male,2,own,little,moderate,9,radio/TV,Low
26,male,2,own,quite rich,moderate,12,radio/TV,Low
44,male,1,own,little,moderate,18,repairs,High
24,male,2,rent,moderate,little,30,car,High
58,female,1,free,little,little,48,car,High
23,female,0,rent,quite rich,little,6,car,Low
30,male,3,own,little,moderate,27,car,High
57,male,2,free,little,moderate,36,car,Low
23,female,3,own,little,rich,18,car,Low
23,female,1,rent,little,little,36,furniture/equipment,High
27,male,2,own,little,moderate,9,business,Low
61,male,3,free,little,moderate,36,business,Low
25,male,2,own,little,moderate,48,business,High
22,male,2,own,rich,moderate,12,car,Low
51,male,3,free,little,little,8,vacation/others,Low
41,female,1,own,little,moderate,42,business,High
66,male,3,free,little,little,12,car,Low
34,male,2,own,little,little,42,radio/TV,High
51,male,2,own,little,moderate,11,radio/TV,High
22,male,2,own,little,moderate,30,furniture/equipment,High
58,female,1,own,little,little,24,vacation/others,Low
52,male,1,own,little,little,10,radio/TV,Low
27,female,2,own,little,moderate,18,furniture/equipment,Low
47,male,2,free,moderate,moderate,36,education,High
30,male,3,own,moderate,little,18,car,Low
28,male,2,own,little,little,12,repairs,Low
54,male,2,own,little,little,12,car,Low
54,male,2,own,rich,moderate,12,car,Low
58,male,2,rent,little,moderate,54,business,High
34,male,2,own,moderate,moderate,18,business,High
36,male,2,own,little,moderate,36,radio/TV,High
24,male,2,rent,little,moderate,36,radio/TV,Low
35,male,2,rent,little,moderate,9,furniture/equipment,Low
39,male,3,own,little,moderate,24,vacation/others,High
32,male,2,own,little,moderate,12,car,High
35,male,2,own,quite rich,moderate,14,business,Low
31,male,2,own,moderate,moderate,6,business,Low
23,female,2,rent,little,rich,15,education,Low
28,male,1,rent,little,moderate,18,car,High
35,male,2,own,quite rich,little,12,radio/TV,Low
23,female,2,own,quite rich,little,33,furniture/equipment,High
36,male,3,own,quite rich,moderate,12,car,High
25,female,2,own,little,little,21,radio/TV,Low
63,male,2,free,little,rich,10,car,Low
30,male,2,own,little,little,12,car,Low
40,male,1,own,little,little,12,radio/TV,Low
30,male,2,own,little,moderate,12,repairs,Low
34,male,3,own,little,moderate,12,car,Low
29,female,2,own,little,little,12,car,High
29,male,2,own,little,little,36,education,High
66,male,1,own,quite rich,moderate,12,radio/TV,Low
44,female,1,rent,little,rich,12,radio/TV,Low
27,male,0,own,rich,rich,6,car,Low
30,female,3,own,little,moderate,36,radio/TV,High
27,male,3,own,little,little,27,radio/TV,High
22,male,2,own,little,little,18,furniture/equipment,High
30,male,2,own,moderate,moderate,48,business,High
39,female,2,own,little,little,6,car,Low
28,male,2,own,little,little,36,furniture/equipment,High
24,male,2,own,little,rich,36,radio/TV,High
29,female,2,rent,rich,moderate,24,car,High
36,male,3,rent,moderate,moderate,24,business,High
20,female,2,rent,little,little,12,furniture/equipment,Low
48,male,2,own,moderate,little,9,repairs,Low
45,male,1,own,little,little,12,education,Low
38,male,2,own,moderate,moderate,24,car,High
70,male,3,free,little,moderate,10,car,High
33,female,2,own,little,little,18,furniture/equipment,Low
20,female,2,own,rich,moderate,11,furniture/equipment,Low
31,male,2,own,little,moderate,24,business,Low
33,male,2,rent,little,little,15,car,Low
34,female,3,own,little,moderate,24,furniture/equipment,Low
33,male,2,own,little,moderate,8,radio/TV,Low
26,male,2,own,little,little,21,education,High
42,male,2,own,little,little,12,furniture/equipment,High
52,male,2,own,quite rich,little,6,radio/TV,Low
65,male,2,own,little,little,21,car,Low
30,male,3,own,little,moderate,36,business,High
36,male,2,own,little,moderate,18,car,Low
74,female,3,free,little,moderate,9,car,High
68,male,0,free,little,moderate,16,car,Low
20,male,2,own,moderate,little,12,radio/TV,Low
33,female,2,own,little,moderate,18,furniture/equipment,High
34,male,1,free,moderate,moderate,48,business,High
36,male,2,own,little,moderate,27,business,High
21,male,2,rent,moderate,moderate,45,radio/TV,High
34,female,3,own,little,moderate,9,education,Low
27,female,2,rent,moderate,moderate,12,furniture/equipment,Low
40,male,3,own,little,moderate,18,furniture/equipment,High
27,male,1,own,little,little,12,car,Low
21,male,2,rent,little,little,12,education,Low
38,male,3,free,little,little,30,car,High
26,male,2,own,little,moderate,12,domestic appliances,Low
21,male,1,own,little,little,24,business,High
50,male,2,own,little,little,27,business,High
66,male,3,own,little,rich,30,business,Low
31,male,2,own,little,little,18,business,High
23,male,2,own,little,rich,36,radio/TV,High
24,male,1,rent,little,little,24,furniture/equipment,High
26,male,1,own,little,moderate,12,radio/TV,Low
27,male,2,own,rich,moderate,48,radio/TV,High
53,male,3,free,little,little,12,furniture/equipment,High
22,male,2,free,little,little,24,furniture/equipment,High
26,male,2,own,little,rich,36,radio/TV,High
25,male,1,own,little,moderate,18,radio/TV,Low
30,male,3,own,little,little,24,radio/TV,Low
61,male,1,rent,moderate,moderate,21,business,High
39,male,2,own,little,little,30,radio/TV,High
24,male,2,free,little,little,48,car,High
26,male,2,own,little,rich,24,furniture/equipment,Low
39,female,1,own,rich,little,6,car,Low
46,female,1,own,little,rich,12,furniture/equipment,Low
24,female,2,own,little,moderate,30,car,Low
29,male,2,free,little,little,12,radio/TV,Low
27,male,2,own,little,little,12,furniture/equipment,Low
55,female,2,own,little,little,24,radio/TV,Low
36,male,3,free,little,little,18,car,High
37,male,2,own,little,moderate,15,radio/TV,Low
45,male,3,own,little,little,14,car,High
28,male,2,own,little,moderate,48,radio/TV,High
34,male,1,own,little,little,30,repairs,High
37,male,2,own,moderate,moderate,24,car,High
35,female,1,own,little,little,47,car,High
26,male,2,own,little,little,48,car,High
31,male,3,free,moderate,moderate,48,vacation/others,High
49,female,2,own,little,moderate,12,radio/TV,Low
48,male,2,own,little,little,24,radio/TV,Low
28,male,3,rent,little,moderate,36,car,High
44,female,3,free,little,little,24,car,High
56,male,2,free,little,rich,42,car,High
26,female,2,own,little,moderate,48,furniture/equipment,High
32,male,2,own,rich,moderate,21,furniture/equipment,High
42,female,2,own,little,moderate,36,radio/TV,High
49,male,2,own,little,little,10,car,Low
33,male,1,own,moderate,little,12,radio/TV,Low
24,female,2,own,little,moderate,8,furniture/equipment,Low
22,male,1,rent,little,moderate,9,car,Low
26,female,2,own,little,rich,24,furniture/equipment,High
25,male,1,own,little,moderate,12,car,Low
31,male,2,own,little,little,36,furniture/equipment,High
38,male,1,own,little,little,12,furniture/equipment,Low
27,female,1,own,little,little,15,furniture/equipment,High
28,male,3,own,little,moderate,30,car,High
32,male,2,own,little,little,24,radio/TV,Low
34,male,3,free,little,little,24,car,High
28,male,2,own,rich,little,18,furniture/equipment,High
39,male,1,own,little,little,8,car,High
31,male,2,own,little,rich,36,radio/TV,High
28,male,2,own,little,moderate,6,radio/TV,Low
75,male,3,free,little,little,24,car,High
24,female,3,own,moderate,moderate,60,car,High
23,male,2,rent,little,little,24,furniture/equipment,High
44,male,3,rent,little,little,6,furniture/equipment,High
23,female,1,own,little,moderate,13,radio/TV,Low
28,male,2,own,little,little,24,furniture/equipment,High
31,male,1,own,little,moderate,10,furniture/equipment,Low
24,female,2,free,little,moderate,24,education,High
26,female,1,rent,little,little,21,furniture/equipment,High
25,male,2,rent,quite rich,moderate,18,radio/TV,High
33,male,3,own,little,moderate,18,business,High
37,male,1,own,little,rich,10,car,High
23,male,2,own,little,moderate,13,radio/TV,Low
23,female,0,rent,quite rich,moderate,24,radio/TV,High
32,male,2,free,rich,moderate,9,education,Low
29,female,2,own,little,moderate,9,furniture/equipment,Low
28,male,2,rent,little,little,12,radio/TV,High
23,male,1,own,little,moderate,24,car,Low
23,female,2,rent,little,little,30,furniture/equipment,High
36,female,2,own,little,rich,12,car,Low
25,male,0,own,little,little,18,furniture/equipment,High
22,female,2,rent,little,little,18,furniture/equipment,High
42,male,2,own,little,little,36,furniture/equipment,High
40,female,2,rent,little,moderate,18,furniture/equipment,High
60,female,3,free,moderate,moderate,60,vacation/others,High
37,female,2,rent,little,little,48,business,High
57,male,3,free,little,moderate,36,car,High
38,female,3,free,little,moderate,18,car,High
26,male,2,own,little,rich,12,car,Low
40,male,3,own,little,moderate,18,furniture/equipment,High
27,male,2,own,quite rich,moderate,15,business,High
19,female,1,rent,rich,moderate,12,furniture/equipment,Low
39,male,3,free,little,little,36,car,High
31,female,2,own,little,little,6,radio/TV,Low
32,male,2,rent,moderate,moderate,39,education,High
55,female,3,free,little,little,12,furniture/equipment,High
46,male,2,own,little,little,36,furniture/equipment,High
46,male,2,rent,little,moderate,12,car,Low
22,male,2,own,little,moderate,24,radio/TV,Low
27,male,2,own,little,little,15,radio/TV,Low
28,male,2,own,quite rich,rich,12,car,Low
20,female,2,own,little,moderate,24,radio/TV,Low
33,male,1,own,little,little,12,car,High
47,male,1,own,little,moderate,12,car,Low
21,male,2,rent,little,moderate,18,car,High
55,female,0,free,little,little,18,repairs,Low
29,male,3,own,little,moderate,24,vacation/others,High
36,male,3,free,little,little,6,furniture/equipment,Low
25,male,2,own,little,little,9,furniture/equipment,Low
65,male,0,own,little,little,42,repairs,High
26,female,0,own,little,rich,12,business,Low
30,female,2,own,little,little,12,furniture/equipment,Low
29,male,2,own,little,moderate,20,vacation/others,High
30,female,3,own,little,moderate,48,furniture/equipment,High
34,female,2,own,little,little,36,car,Low
35,male,2,own,little,moderate,7,radio/TV,High
61,male,2,own,rich,moderate,15,repairs,Low
31,male,2,own,little,little,24,car,High
36,male,2,rent,little,little,11,car,High
35,male,2,free,little,little,12,car,High
27,female,2,own,little,little,6,domestic appliances,Low
37,male,2,own,little,little,36,furniture/equipment,High
36,male,2,own,little,little,15,car,Low
34,female,3,rent,little,moderate,12,furniture/equipment,High
63,male,2,own,little,little,24,car,High
29,female,1,rent,little,little,24,radio/TV,Low
22,male,2,rent,moderate,moderate,24,radio/TV,High
23,female,2,own,little,little,6,education,Low
28,male,1,own,little,little,9,car,Low
33,male,2,own,little,moderate,18,radio/TV,Low
26,female,2,rent,little,little,18,furniture/equipment,High
25,male,2,own,little,rich,24,radio/TV,High
39,male,1,own,moderate,moderate,12,business,Low
44,male,2,own,little,little,15,furniture/equipment,Low
23,female,1,own,little,moderate,12,radio/TV,High
26,male,2,own,little,moderate,24,car,Low
57,female,2,rent,rich,little,30,furniture/equipment,High
47,male,3,own,little,moderate,6,car,Low
42,female,3,free,little,moderate,27,business,High
39,male,1,rent,little,little,12,car,Low
29,male,3,rent,moderate,moderate,36,furniture/equipment,High
32,male,1,own,little,moderate,18,radio/TV,Low
28,male,2,own,moderate,rich,6,car,Low
27,female,2,own,little,little,24,car,High
42,male,2,free,little,little,36,car,High
49,male,2,own,moderate,rich,9,radio/TV,Low
38,male,2,own,moderate,moderate,24,radio/TV,Low
24,female,2,rent,little,little,24,car,Low
36,male,2,own,quite rich,rich,15,car,High
34,male,3,own,moderate,moderate,15,car,High
26,male,2,own,little,little,12,car,Low
26,male,2,rent,little,rich,15,business,High
20,male,2,rent,little,moderate,12,radio/TV,Low
37,female,2,own,little,little,6,car,Low
40,male,1,own,little,little,6,car,Low
43,male,2,own,moderate,little,6,car,Low
24,female,2,own,little,little,18,radio/TV,High
53,male,2,free,little,little,48,furniture/equipment,High
26,female,1,own,little,moderate,18,radio/TV,Low
30,male,2,own,little,moderate,26,car,High
31,male,2,rent,little,little,36,radio/TV,Low
41,male,1,own,little,little,6,car,Low
32,male,2,own,little,moderate,36,education,Low
28,female,2,rent,moderate,moderate,15,car,High
33,male,2,rent,little,rich,21,education,Low
37,female,2,own,little,moderate,18,furniture/equipment,High
42,male,3,free,little,little,48,car,High
45,female,1,own,little,rich,18,furniture/equipment,High
23,male,2,rent,little,moderate,12,radio/TV,Low
34,male,1,own,little,rich,18,furniture/equipment,High
43,male,2,free,little,little,24,car,Low
24,female,1,own,little,little,12,radio/TV,Low
34,male,2,own,little,little,48,radio/TV,High
27,male,2,own,moderate,moderate,12,car,Low
67,female,3,own,little,moderate,9,education,Low
22,male,2,own,little,moderate,12,radio/TV,Low
28,female,2,own,moderate,moderate,18,car,Low
27,male,2,own,little,little,24,furniture/equipment,High
31,male,1,own,little,moderate,18,furniture/equipment,Low
24,male,1,rent,little,little,24,radio/TV,Low
29,female,2,own,little,rich,6,radio/TV,Low
23,female,2,rent,moderate,moderate,24,radio/TV,Low
36,male,2,own,little,little,12,car,Low
31,female,2,own,little,little,48,radio/TV,High
23,female,1,rent,little,little,24,furniture/equipment,High
22,female,1,own,little,little,15,business,Low
27,male,1,own,little,moderate,9,radio/TV,Low
27,female,2,own,little,moderate,12,radio/TV,High
27,male,2,own,little,moderate,36,car,High
30,male,2,own,little,moderate,18,car,Low
49,male,1,own,little,moderate,12,car,High
33,male,1,rent,little,moderate,36,repairs,High
20,female,2,rent,little,little,18,furniture/equipment,Low
36,male,2,rent,little,little,9,car,High
21,male,1,own,little,little,12,furniture/equipment,Low
47,male,1,own,little,little,18,domestic appliances,Low
60,male,2,own,little,little,12,furniture/equipment,Low
58,female,1,own,little,little,12,radio/TV,Low
20,female,1,rent,little,moderate,24,car,High
32,female,1,own,moderate,moderate,6,car,Low
23,female,2,rent,little,little,24,car,Low
36,male,1,own,little,moderate,24,business,High
45,female,2,own,little,moderate,7,radio/TV,High
30,female,2,own,little,moderate,9,furniture/equipment,Low
34,female,1,free,little,moderate,24,education,Low
23,female,2,own,little,rich,10,furniture/equipment,Low
22,male,2,own,quite rich,little,24,furniture/equipment,High
50,female,2,free,moderate,moderate,36,radio/TV,High
22,female,2,own,moderate,little,12,domestic appliances,Low
48,female,1,free,moderate,rich,10,car,Low
29,female,2,own,rich,little,21,radio/TV,High
22,female,2,rent,little,little,24,car,High
37,male,2,rent,little,little,6,car,High
21,female,2,rent,moderate,moderate,30,furniture/equipment,High
27,male,2,own,little,moderate,21,business,High
22,female,2,rent,little,little,12,furniture/equipment,Low
65,male,2,free,little,little,18,radio/TV,High
41,male,2,own,little,rich,6,furniture/equipment,Low
29,male,2,own,moderate,moderate,9,car,Low
28,female,2,own,little,little,24,radio/TV,High
44,male,2,own,little,little,18,furniture/equipment,Low
25,female,1,own,little,moderate,24,car,Low
26,male,2,own,little,little,42,radio/TV,High
27,female,0,own,little,little,18,education,Low
38,male,1,own,little,moderate,15,repairs,Low
32,male,3,own,little,little,18,radio/TV,Low
32,male,2,own,little,little,30,furniture/equipment,High
38,male,2,free,little,rich,24,car,Low
40,male,1,rent,little,little,12,education,Low
50,male,3,free,little,little,48,education,High
37,male,1,own,little,moderate,12,furniture/equipment,Low
45,male,2,own,little,little,24,car,Low
42,male,3,own,moderate,moderate,36,car,High
22,male,2,free,little,little,14,car,High
41,male,1,own,little,moderate,12,car,Low
28,female,2,own,little,moderate,30,business,High
41,male,2,own,little,moderate,18,furniture/equipment,High
23,male,2,rent,little,rich,12,radio/TV,Low
35,male,3,own,little,moderate,6,furniture/equipment,Low
50,female,1,own,little,rich,6,education,Low
34,male,2,own,rich,moderate,30,furniture/equipment,High
43,male,2,rent,little,little,12,car,High
47,male,2,own,little,rich,30,radio/TV,High
24,male,2,own,moderate,moderate,72,radio/TV,High
64,male,1,rent,little,little,24,radio/TV,High
31,male,1,own,moderate,moderate,36,business,High
30,male,2,free,moderate,moderate,36,car,High
31,male,2,own,rich,little,12,car,High
25,male,2,own,little,little,15,furniture/equipment,Low
25,female,1,own,moderate,moderate,15,repairs,High
29,male,2,own,moderate,moderate,24,radio/TV,High
29,male,2,own,little,moderate,12,radio/TV,Low
40,male,3,rent,little,rich,15,education,Low
46,male,2,free,little,little,48,car,High
47,female,2,free,moderate,rich,24,radio/TV,Low
41,male,2,own,moderate,moderate,30,business,High
32,female,2,own,little,moderate,27,business,High
24,male,2,own,moderate,moderate,48,car,High
25,female,2,rent,little,moderate,12,furniture/equipment,High
25,female,2,own,little,moderate,9,radio/TV,Low
37,male,1,own,little,moderate,9,radio/TV,Low
35,female,2,free,little,little,6,education,Low
25,male,1,own,little,little,9,radio/TV,Low
27,male,3,own,little,moderate,60,car,High
31,male,2,own,moderate,moderate,20,car,High
34,male,3,own,little,rich,9,radio/TV,Low
24,female,2,rent,rich,moderate,6,education,Low
24,female,1,own,little,little,12,car,Low
66,female,1,own,quite rich,moderate,9,radio/TV,Low
25,female,2,rent,little,little,18,radio/TV,Low
59,female,2,rent,little,moderate,48,business,High
36,male,2,own,rich,rich,24,business,Low
33,male,2,own,little,moderate,24,radio/TV,High
21,male,1,rent,little,little,24,radio/TV,Low
44,female,1,own,little,moderate,8,radio/TV,Low
23,female,3,rent,little,moderate,24,car,High
35,male,1,own,moderate,little,18,car,High
26,female,1,rent,moderate,moderate,30,business,High
32,male,2,own,moderate,little,24,car,High
23,male,1,own,little,moderate,10,radio/TV,Low
22,male,2,own,quite rich,little,24,furniture/equipment,High
28,male,1,own,little,little,13,business,Low
23,female,2,rent,little,little,15,car,High
37,female,1,own,little,little,12,car,Low
49,female,2,own,little,little,6,furniture/equipment,Low
23,female,1,own,little,little,18,car,Low
23,female,1,rent,moderate,moderate,12,business,Low
74,male,0,own,little,rich,6,car,Low
35,male,2,own,little,little,12,car,Low
24,female,2,rent,little,little,18,furniture/equipment,Low
24,male,1,own,little,little,12,radio/TV,Low
40,male,1,own,little,moderate,12,radio/TV,Low
31,male,1,own,little,little,30,furniture/equipment,High
28,male,2,rent,little,moderate,12,furniture/equipment,High
25,female,3,own,little,little,36,education,High
66,male,0,free,quite rich,rich,12,car,Low
25,female,2,own,little,little,18,radio/TV,High
67,female,2,own,little,moderate,18,repairs,High
25,male,2,own,little,moderate,39,radio/TV,High
31,male,1,own,little,moderate,12,education,Low
23,female,1,own,moderate,moderate,12,car,Low
35,male,1,own,rich,moderate,18,business,Low
50,male,2,free,little,moderate,48,education,High
27,male,2,own,little,little,40,education,High
39,female,2,own,little,moderate,21,business,Low
51,male,2,free,little,rich,24,furniture/equipment,High
48,female,1,rent,little,moderate,18,radio/TV,Low
24,female,2,own,little,little,20,furniture/equipment,High
24,male,2,own,little,little,36,car,High
26,male,1,own,little,moderate,6,radio/TV,Low
55,male,3,free,little,moderate,42,car,High
26,female,0,rent,little,moderate,15,car,Low
26,male,2,own,little,moderate,8,business,Low
28,male,1,own,little,moderate,6,radio/TV,Low
24,male,2,own,little,little,36,car,High
54,male,2,own,little,little,48,domestic appliances,High
46,male,2,free,little,little,48,car,High
54,female,2,rent,little,moderate,36,car,High
43,male,3,own,little,little,36,vacation/others,High
26,male,2,own,little,little,18,radio/TV,Low
24,male,2,own,little,rich,12,radio/TV,High
41,male,2,own,little,little,36,furniture/equipment,High
47,male,1,own,little,little,8,car,Low
30,male,2,own,little,little,21,car,Low
33,female,2,rent,little,little,18,car,High
23,female,2,rent,little,little,18,car,Low
29,male,2,rent,little,little,45,business,High
25,female,1,own,little,rich,15,radio/TV,High
48,male,2,own,little,little,12,car,Low
63,male,2,own,little,little,24,car,High
29,male,2,own,little,little,36,furniture/equipment,High
59,male,2,own,little,little,9,radio/TV,Low
57,male,1,own,little,little,12,radio/TV,Low
33,male,2,rent,little,little,20,car,Low
32,male,1,free,little,little,18,car,Low
29,female,2,own,little,little,15,car,High
35,female,2,own,little,little,24,radio/TV,High
27,female,2,own,little,little,18,radio/TV,High
24,female,2,rent,little,little,12,furniture/equipment,Low
46,male,2,own,little,rich,6,car,Low
26,male,2,own,moderate,little,24,business,Low
29,male,1,own,little,little,12,furniture/equipment,High
40,female,2,own,rich,moderate,11,car,Low
36,male,3,free,little,little,18,radio/TV,Low
27,male,3,free,little,little,9,car,Low
43,male,2,own,little,moderate,24,furniture/equipment,High
53,female,2,own,little,little,12,education,Low
23,male,2,own,little,moderate,48,business,High
43,male,3,own,little,little,27,business,High
38,male,1,own,little,little,12,car,Low
34,male,2,own,little,moderate,36,car,High
28,female,3,rent,little,little,21,radio/TV,High
42,male,2,own,little,little,18,furniture/equipment,High
43,male,2,rent,little,little,16,car,High
20,male,3,rent,little,little,12,radio/TV,Low
25,female,1,own,little,moderate,24,furniture/equipment,High
31,male,2,rent,little,little,24,business,High
32,female,3,own,little,moderate,48,vacation/others,High
68,male,3,own,little,little,6,car,High
33,male,2,own,moderate,little,24,furniture/equipment,High
39,male,3,rent,little,little,24,furniture/equipment,High
22,female,2,rent,little,little,9,radio/TV,Low
30,male,2,rent,little,moderate,12,car,Low
55,male,2,own,little,little,24,furniture/equipment,High
46,male,2,own,little,little,12,car,Low
21,female,2,rent,little,little,18,furniture/equipment,Low
39,male,2,free,little,little,48,car,High
43,male,1,own,little,little,12,car,Low
24,male,1,own,little,little,24,furniture/equipment,Low
22,female,2,own,little,moderate,9,radio/TV,Low
23,female,2,own,little,little,12,radio/TV,Low
30,male,3,own,moderate,moderate,30,radio/TV,Low
28,female,1,own,little,rich,9,radio/TV,Low
30,male,3,rent,little,moderate,6,radio/TV,Low
42,male,2,free,little,moderate,60,education,High
46,female,2,rent,little,little,15,furniture/equipment,Low
30,female,2,own,quite rich,moderate,48,car,High
30,male,2,free,quite rich,little,24,furniture/equipment,High
40,male,0,own,little,moderate,18,business,High
24,male,2,own,little,little,36,business,Low
28,female,2,rent,quite rich,moderate,24,car,High
29,female,2,own,little,little,12,car,Low
57,female,3,rent,rich,little,24,radio/TV,Low
37,male,1,own,little,moderate,9,radio/TV,Low
45,male,1,own,little,little,28,car,High
